trip,date_scrapped,start_time,end_time,duration_sec,total_months,status,errors_count,errors,url
BRU_EZE,2025-06-04,2025-06-04T15:17:06.981316,2025-06-04T15:19:12.547458,125.57,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARodagwIAxIIL20vMDE3N3pyDQgCEgkvbS8wMWx5NW1AAUgBcAGCAQsI____________AZgBAg&tfu=KgIIAQ&curr=EUR
EZE_BRU,2025-06-04,2025-06-04T15:19:12.548235,2025-06-04T15:21:18.753516,126.21,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARodag0IAhIJL20vMDFseTVtcgwIAxIIL20vMDE3N3pAAUgBcAGCAQsI____________AZgBAg&tfu=KgIIAQ&curr=EUR
BRU_GRU,2025-06-04,2025-06-04T15:21:18.754128,2025-06-04T15:23:25.618391,126.86,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARodagwIAxIIL20vMDE3N3pyDQgDEgkvbS8wMjJwZm1AAUgBcAGCAQsI____________AZgBAg&tfu=KgIIAQ&curr=EUR
GRU_BRU,2025-06-04,2025-06-04T15:23:25.619689,2025-06-04T15:25:31.810071,126.19,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARodag0IAxIJL20vMDIycGZtcgwIAxIIL20vMDE3N3pAAUgBcAGCAQsI____________AZgBAg&tfu=KgIIAQ&curr=EUR
BRU_NRT,2025-06-04,2025-06-04T15:25:31.811284,2025-06-04T15:27:39.573223,127.76,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMDE3N3pyDAgDEggvbS8wN2Rma0ABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
NRT_BRU,2025-06-04,2025-06-04T15:27:39.573732,2025-06-04T15:29:50.626103,131.05,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMDdkZmtyDAgDEggvbS8wMTc3ekABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
BRU_HAV,2025-06-04,2025-06-04T15:29:50.626701,2025-06-04T15:30:06.842513,16.22,12,failure,1,"[{""phase"": ""init_or_main_loop"", ""error"": ""[Errno 30] Read-only file system: 'debug_departure_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMDE3N3pyDAgDEggvbS8wZDZobkABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
HAV_BRU,2025-06-04,2025-06-04T15:30:06.842934,2025-06-04T15:32:06.360905,119.52,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMGQ2aG5yDAgDEggvbS8wMTc3ekABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
BRU_ICN,2025-06-04,2025-06-04T15:32:06.361510,2025-06-04T15:34:19.637441,133.28,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMDE3N3pyDAgDEggvbS8waHNxZkABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
ICN_BRU,2025-06-04,2025-06-04T15:34:19.638152,2025-06-04T15:36:29.707808,130.07,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMGhzcWZyDAgDEggvbS8wMTc3ekABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
BRU_PER,2025-06-04,2025-06-04T15:36:29.710524,2025-06-04T15:38:32.948634,123.24,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMDE3N3pyDAgDEggvbS8wNjJxZ0ABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
PER_BRU,2025-06-04,2025-06-04T15:38:32.951315,2025-06-04T15:38:48.724149,15.77,12,failure,1,"[{""phase"": ""init_or_main_loop"", ""error"": ""[Errno 30] Read-only file system: 'debug_departure_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMDYycWdyDAgDEggvbS8wMTc3ekABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
BRU_MEL,2025-06-04,2025-06-04T15:38:48.724828,2025-06-04T15:39:04.983908,16.26,12,failure,1,"[{""phase"": ""init_or_main_loop"", ""error"": ""[Errno 30] Read-only file system: 'debug_departure_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARoXagwIAxIIL20vMDE3N3pyBwgBEgNNRUxAAUgBcAGCAQsI____________AZgBAg&tfu=KgIIAQ&curr=EUR
MEL_BRU,2025-06-04,2025-06-04T15:39:04.984417,2025-06-04T15:41:08.726661,123.74,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARoXagcIARIDTUVMcgwIAxIIL20vMDE3N3pAAUgBcAGCAQsI____________AZgBAg&tfu=KgIIAQ&curr=EUR
BRU_YUL,2025-06-04,2025-06-04T15:41:08.727234,2025-06-04T15:43:17.991068,129.26,12,success,1,"[{""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMDE3N3pyDAgDEggvbS8wNTJwN0ABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
