trip,date_scrapped,start_time,end_time,duration_sec,total_months,status,errors_count,errors,url
BRU_EZE,2025-06-07,2025-06-07T11:25:49.720614,2025-06-07T17:58:43.831974,23574.11,12,success,10,"[{""month_index"": 0, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}, {""month_index"": 1, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}, {""month_index"": 2, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}, {""month_index"": 3, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}, {""month_index"": 4, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}, {""month_index"": 5, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}, {""month_index"": 6, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}, {""month_index"": 7, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}, {""month_index"": 8, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}, {""month_index"": 9, ""error"": ""[Errno 30] Read-only file system: 'debug_next_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARodagwIAxIIL20vMDE3N3pyDQgCEgkvbS8wMWx5NW1AAUgBcAGCAQsI____________AZgBAg&tfu=KgIIAQ&curr=EUR
EZE_BRU,2025-06-07,2025-06-07T17:58:43.832940,2025-06-07T19:53:51.130141,6907.3,12,success,0,[],https://www.google.com/travel/flights?tfs=CBwQARodag0IAhIJL20vMDFseTVtcgwIAxIIL20vMDE3N3pAAUgBcAGCAQsI____________AZgBAg&tfu=KgIIAQ&curr=EUR
BRU_GRU,2025-06-07,2025-06-07T19:53:51.130787,2025-06-07T19:55:40.897799,109.77,12,success,0,[],https://www.google.com/travel/flights?tfs=CBwQARodagwIAxIIL20vMDE3N3pyDQgDEgkvbS8wMjJwZm1AAUgBcAGCAQsI____________AZgBAg&tfu=KgIIAQ&curr=EUR
GRU_BRU,2025-06-07,2025-06-07T19:55:40.898480,2025-06-07T19:55:57.898587,17.0,12,failure,1,"[{""phase"": ""init_or_main_loop"", ""error"": ""[Errno 30] Read-only file system: 'debug_departure_input_fail.png'""}]",https://www.google.com/travel/flights?tfs=CBwQARodag0IAxIJL20vMDIycGZtcgwIAxIIL20vMDE3N3pAAUgBcAGCAQsI____________AZgBAg&tfu=KgIIAQ&curr=EUR
BRU_NRT,2025-06-07,2025-06-07T19:55:57.899147,2025-06-07T19:57:45.255874,107.36,12,success,0,[],https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMDE3N3pyDAgDEggvbS8wN2Rma0ABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
NRT_BRU,2025-06-07,2025-06-07T19:57:45.256435,2025-06-07T19:59:31.266205,106.01,12,success,0,[],https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMDdkZmtyDAgDEggvbS8wMTc3ekABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
BRU_HAV,2025-06-07,2025-06-07T19:59:31.266786,2025-06-07T20:01:18.647448,107.38,12,success,0,[],https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMDE3N3pyDAgDEggvbS8wZDZobkABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
HAV_BRU,2025-06-07,2025-06-07T20:01:18.648047,2025-06-07T20:03:06.148997,107.5,12,success,0,[],https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMGQ2aG5yDAgDEggvbS8wMTc3ekABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
BRU_ICN,2025-06-07,2025-06-07T20:03:06.149928,2025-06-07T20:04:57.223276,111.07,12,success,0,[],https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMDE3N3pyDAgDEggvbS8waHNxZkABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
ICN_BRU,2025-06-07,2025-06-07T20:04:57.224909,2025-06-07T20:06:41.736257,104.51,12,success,0,[],https://www.google.com/travel/flights?tfs=CBwQARocagwIAxIIL20vMGhzcWZyDAgDEggvbS8wMTc3ekABSAFwAYIBCwj___________8BmAEC&tfu=KgIIAQ&curr=EUR
