trip,date_scrapped,start_time,end_time,duration_sec,total_months,status,errors_count,errors,url
PTY_EZE,2025-06-28,2025-06-30T10:02:05.112437,2025-06-30T10:02:53.498983,48.39,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/PTY_EZE/
BRU_POM,2025-06-28,2025-06-30T10:02:54.467497,2025-06-30T10:03:54.133432,59.67,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/BRU_POM/
BRU_AKL,2025-06-28,2025-06-30T10:03:55.022886,2025-06-30T10:05:06.318524,71.3,12,failure,1,"[{""file_name"": ""2025-06-28_XxX_BRU_AKL_XxX_06_2025.png"", ""dict_error"": {""cell_errors"": [], ""dataframe"": [""Dates non converted in 2025-06-28_XxX_BRU_AKL_XxX_06_2025.png""]}}]",/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/BRU_AKL/
BRU_EZE,2025-06-28,2025-06-30T10:05:07.104803,2025-06-30T10:06:20.089728,72.99,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/BRU_EZE/
BRU_NOU,2025-06-28,2025-06-30T10:06:20.928787,2025-06-30T10:07:35.309321,74.38,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/BRU_NOU/
MAO_EZE,2025-06-28,2025-06-30T10:07:36.145605,2025-06-30T10:08:48.113604,71.97,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/MAO_EZE/
BRU_HAV,2025-06-28,2025-06-30T10:08:48.972561,2025-06-30T10:10:02.829103,73.86,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/BRU_HAV/
EZE_YUL,2025-06-28,2025-06-30T10:10:03.667675,2025-06-30T10:11:16.945032,73.28,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/EZE_YUL/
EZE_SSA,2025-06-28,2025-06-30T10:11:17.752114,2025-06-30T10:12:32.105129,74.35,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/EZE_SSA/
EZE_BOG,2025-06-28,2025-06-30T10:12:32.929968,2025-06-30T10:33:28.726754,1255.8,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/EZE_BOG/
GRU_BRU,2025-06-28,2025-06-30T10:33:29.582872,2025-06-30T10:43:17.576032,587.99,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/GRU_BRU/
KEF_BRU,2025-06-28,2025-06-30T10:43:18.411335,2025-06-30T10:47:59.219952,280.81,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/KEF_BRU/
BRU_KIN,2025-06-28,2025-06-30T10:48:00.158551,2025-06-30T10:48:55.118744,54.96,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/BRU_KIN/
PER_BRU,2025-06-28,2025-06-30T10:48:55.777964,2025-06-30T10:49:58.685678,62.91,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/PER_BRU/
NOU_BRU,2025-06-28,2025-06-30T10:49:59.561476,2025-06-30T10:50:57.160405,57.6,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/NOU_BRU/
YUL_BRU,2025-06-28,2025-06-30T10:50:57.819646,2025-06-30T10:51:54.252127,56.43,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/YUL_BRU/
BRU_NRT,2025-06-28,2025-06-30T10:51:54.896704,2025-06-30T10:53:06.695585,71.8,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/BRU_NRT/
MEL_BRU,2025-06-28,2025-06-30T10:53:07.487648,2025-06-30T10:54:14.737632,67.25,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/MEL_BRU/
BOG_EZE,2025-06-28,2025-06-30T10:54:15.616754,2025-06-30T10:55:29.577864,73.96,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/BOG_EZE/
KIN_EZE,2025-06-28,2025-06-30T10:55:30.384086,2025-06-30T10:56:36.367439,65.98,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/KIN_EZE/
BRU_PER,2025-06-28,2025-06-30T10:56:37.196884,2025-06-30T10:57:33.714096,56.52,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/BRU_PER/
EZE_HAV,2025-06-28,2025-06-30T10:57:34.528334,2025-06-30T10:58:33.610854,59.08,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/EZE_HAV/
BRU_YUL,2025-06-28,2025-06-30T10:58:34.215499,2025-06-30T10:59:32.153173,57.94,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/BRU_YUL/
YUL_EZE,2025-06-28,2025-06-30T10:59:32.930494,2025-06-30T11:00:39.684008,66.75,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/YUL_EZE/
AKL_BRU,2025-06-28,2025-06-30T11:00:40.495484,2025-06-30T11:01:49.122970,68.63,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/AKL_BRU/
HAV_EZE,2025-06-28,2025-06-30T11:01:49.870288,2025-06-30T11:02:56.890239,67.02,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/HAV_EZE/
EZE_KIN,2025-06-28,2025-06-30T11:02:57.626564,2025-06-30T11:04:12.593452,74.97,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/EZE_KIN/
KIN_BRU,2025-06-28,2025-06-30T11:04:13.476364,2025-06-30T11:05:28.272139,74.8,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/KIN_BRU/
BRU_GRU,2025-06-28,2025-06-30T11:05:29.073293,2025-06-30T11:06:33.229705,64.16,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/BRU_GRU/
EZE_MAO,2025-06-28,2025-06-30T11:06:34.082410,2025-06-30T11:07:32.869580,58.79,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/EZE_MAO/
SSA_EZE,2025-06-28,2025-06-30T11:07:33.751937,2025-06-30T11:08:41.038785,67.29,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/SSA_EZE/
EZE_BRU,2025-06-28,2025-06-30T11:08:41.681846,2025-06-30T11:09:23.947148,42.27,12,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-06-28/EZE_BRU/
