trip,date_scrapped,start_time,end_time,duration_sec,total_months,status,errors_count,errors,url
ORD_NRT,2025-07-01,2025-07-02T10:02:07.919364,2025-07-02T10:02:57.324518,49.41,11,failure,1,"[{""file_name"": ""2025-07-01_XxX_ORD_NRT_XxX_09_2025.png"", ""dict_error"": {""cell_errors"": [], ""dataframe"": [""Dates non converted in 2025-07-01_XxX_ORD_NRT_XxX_09_2025.png""]}}]",/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/ORD_NRT/
ORD_CDG,2025-07-01,2025-07-02T10:02:58.471416,2025-07-02T10:03:48.815341,50.34,11,failure,1,"[{""file_name"": ""2025-07-01_XxX_ORD_CDG_XxX_07_2025.png"", ""dict_error"": {""cell_errors"": [], ""dataframe"": [""Dates non converted in 2025-07-01_XxX_ORD_CDG_XxX_07_2025.png""]}}]",/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/ORD_CDG/
MEX_MAD,2025-07-01,2025-07-02T10:03:49.848293,2025-07-02T10:04:42.811525,52.96,11,failure,1,"[{""file_name"": ""2025-07-01_XxX_MEX_MAD_XxX_11_2025.png"", ""dict_error"": {""cell_errors"": [], ""dataframe"": [""Dates non converted in 2025-07-01_XxX_MEX_MAD_XxX_11_2025.png""]}}]",/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/MEX_MAD/
PTY_EZE,2025-07-01,2025-07-02T10:04:43.598520,2025-07-02T10:05:39.951291,56.35,11,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/PTY_EZE/
BRU_AKL,2025-07-01,2025-07-02T10:05:41.030692,2025-07-02T10:06:32.322512,51.29,11,failure,1,"[{""file_name"": ""2025-07-01_XxX_BRU_AKL_XxX_07_2025.png"", ""dict_error"": {""cell_errors"": [], ""dataframe"": [""Dates non converted in 2025-07-01_XxX_BRU_AKL_XxX_07_2025.png""]}}]",/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/BRU_AKL/
BRU_EZE,2025-07-01,2025-07-02T10:06:33.066125,2025-07-02T10:07:29.356137,56.29,11,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/BRU_EZE/
SIN_SFO,2025-07-01,2025-07-02T10:07:30.459346,2025-07-02T10:08:33.835274,63.38,11,failure,1,"[{""file_name"": ""2025-07-01_XxX_SIN_SFO_XxX_09_2025.png"", ""dict_error"": {""cell_errors"": [], ""dataframe"": [""Dates non converted in 2025-07-01_XxX_SIN_SFO_XxX_09_2025.png""]}}]",/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/SIN_SFO/
CDG_JFK,2025-07-01,2025-07-02T10:08:34.767927,2025-07-02T10:09:40.257031,65.49,11,failure,1,"[{""file_name"": ""2025-07-01_XxX_CDG_JFK_XxX_09_2025.png"", ""dict_error"": {""cell_errors"": [], ""dataframe"": [""Dates non converted in 2025-07-01_XxX_CDG_JFK_XxX_09_2025.png""]}}]",/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/CDG_JFK/
LHR_PEK,2025-07-01,2025-07-02T10:09:41.330325,2025-07-02T10:10:36.842755,55.51,11,failure,1,"[{""file_name"": ""2025-07-01_XxX_LHR_PEK_XxX_09_2025.png"", ""dict_error"": {""cell_errors"": [], ""dataframe"": [""Dates non converted in 2025-07-01_XxX_LHR_PEK_XxX_09_2025.png""]}}]",/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/LHR_PEK/
NRT_ORD,2025-07-01,2025-07-02T10:10:38.039664,2025-07-02T10:11:23.991496,45.95,11,failure,1,"[{""file_name"": ""2025-07-01_XxX_NRT_ORD_XxX_09_2025.png"", ""dict_error"": {""cell_errors"": [], ""dataframe"": [""Dates non converted in 2025-07-01_XxX_NRT_ORD_XxX_09_2025.png""]}}]",/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/NRT_ORD/
MAD_MEX,2025-07-01,2025-07-02T10:11:24.748710,2025-07-02T10:12:04.378021,39.63,11,failure,1,"[{""file_name"": ""2025-07-01_XxX_MAD_MEX_XxX_11_2025.png"", ""dict_error"": {""cell_errors"": [], ""dataframe"": [""Dates non converted in 2025-07-01_XxX_MAD_MEX_XxX_11_2025.png""]}}]",/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/MAD_MEX/
FRA_DXB,2025-07-01,2025-07-02T10:12:05.416329,2025-07-02T10:12:45.096746,39.68,11,failure,1,"[{""file_name"": ""2025-07-01_XxX_FRA_DXB_XxX_11_2025.png"", ""dict_error"": {""cell_errors"": [], ""dataframe"": [""Dates non converted in 2025-07-01_XxX_FRA_DXB_XxX_11_2025.png""]}}]",/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/FRA_DXB/
BRU_NOU,2025-07-01,2025-07-02T10:12:46.289019,2025-07-02T10:13:27.429308,41.14,11,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/BRU_NOU/
HKG_LHR,2025-07-01,2025-07-02T10:13:28.401558,2025-07-02T10:14:08.644212,40.24,11,failure,1,"[{""file_name"": ""2025-07-01_XxX_HKG_LHR_XxX_10_2025.png"", ""dict_error"": {""cell_errors"": [], ""dataframe"": [""Dates non converted in 2025-07-01_XxX_HKG_LHR_XxX_10_2025.png""]}}]",/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/HKG_LHR/
JFK_DXB,2025-07-01,2025-07-02T10:14:09.637526,2025-07-02T10:15:07.097078,57.46,11,failure,1,"[{""file_name"": ""2025-07-01_XxX_JFK_DXB_XxX_08_2025.png"", ""dict_error"": {""cell_errors"": [], ""dataframe"": [""Dates non converted in 2025-07-01_XxX_JFK_DXB_XxX_08_2025.png""]}}]",/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/JFK_DXB/
DXB_JNB,2025-07-01,2025-07-02T10:15:08.297588,2025-07-02T10:16:21.663563,73.37,11,failure,1,"[{""file_name"": ""2025-07-01_XxX_DXB_JNB_XxX_08_2025.png"", ""dict_error"": {""cell_errors"": [], ""dataframe"": [""Dates non converted in 2025-07-01_XxX_DXB_JNB_XxX_08_2025.png""]}}]",/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/DXB_JNB/
MAO_EZE,2025-07-01,2025-07-02T10:16:22.859863,2025-07-02T10:17:38.421776,75.56,11,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/MAO_EZE/
DEL_DOH,2025-07-01,2025-07-02T10:17:39.636459,2025-07-02T10:18:55.596299,75.96,11,failure,1,"[{""file_name"": ""2025-07-01_XxX_DEL_DOH_XxX_07_2025.png"", ""dict_error"": {""cell_errors"": [], ""dataframe"": [""Dates non converted in 2025-07-01_XxX_DEL_DOH_XxX_07_2025.png""]}}]",/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/DEL_DOH/
CDG_ORD,2025-07-01,2025-07-02T10:18:56.806019,2025-07-02T10:20:11.995009,75.19,11,failure,1,"[{""file_name"": ""2025-07-01_XxX_CDG_ORD_XxX_08_2025.png"", ""dict_error"": {""cell_errors"": [], ""dataframe"": [""Dates non converted in 2025-07-01_XxX_CDG_ORD_XxX_08_2025.png""]}}]",/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/CDG_ORD/
BRU_HAV,2025-07-01,2025-07-02T10:20:12.995172,2025-07-02T10:21:28.918853,75.92,11,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/BRU_HAV/
EZE_YUL,2025-07-01,2025-07-02T10:21:30.131484,2025-07-02T10:22:47.241938,77.11,11,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/EZE_YUL/
EZE_SSA,2025-07-01,2025-07-02T10:22:48.433571,2025-07-02T10:24:07.004484,78.57,11,success,0,[],/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/EZE_SSA/
SFO_SIN,2025-07-01,2025-07-02T10:24:08.178446,2025-07-02T10:25:26.477393,78.3,11,failure,1,"[{""file_name"": ""2025-07-01_XxX_SFO_SIN_XxX_07_2025.png"", ""dict_error"": {""cell_errors"": [], ""dataframe"": [""Dates non converted in 2025-07-01_XxX_SFO_SIN_XxX_07_2025.png""]}}]",/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/SFO_SIN/
LAX_SYD,2025-07-01,2025-07-02T10:25:27.675952,2025-07-02T10:26:36.569007,68.89,11,failure,1,"[{""file_name"": ""2025-07-01_XxX_LAX_SYD_XxX_08_2025.png"", ""dict_error"": {""cell_errors"": [], ""dataframe"": [""Dates non converted in 2025-07-01_XxX_LAX_SYD_XxX_08_2025.png""]}}]",/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/LAX_SYD/
PEK_LHR,2025-07-01,2025-07-02T10:26:37.743513,2025-07-02T10:27:47.857562,70.11,11,failure,1,"[{""file_name"": ""2025-07-01_XxX_PEK_LHR_XxX_10_2025.png"", ""dict_error"": {""cell_errors"": [], ""dataframe"": [""Dates non converted in 2025-07-01_XxX_PEK_LHR_XxX_10_2025.png""]}}]",/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/PEK_LHR/
GRU_FRA,2025-07-01,2025-07-02T10:27:48.921161,2025-07-02T10:28:54.648780,65.73,11,failure,1,"[{""file_name"": ""2025-07-01_XxX_GRU_FRA_XxX_11_2025.png"", ""dict_error"": {""cell_errors"": [], ""dataframe"": [""Dates non converted in 2025-07-01_XxX_GRU_FRA_XxX_11_2025.png""]}}]",/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/GRU_FRA/
JFK_LAX,2025-07-01,2025-07-02T10:28:55.880026,2025-07-02T10:30:14.620936,78.74,11,failure,1,"[{""file_name"": ""2025-07-01_XxX_JFK_LAX_XxX_09_2025.png"", ""dict_error"": {""cell_errors"": [], ""dataframe"": [""Dates non converted in 2025-07-01_XxX_JFK_LAX_XxX_09_2025.png""]}}]",/Users/focus_profond/GIT_repo/flight_price_tracker/Data/raw/screenshots/2025-07-01/JFK_LAX/
